"Choose Title",TIME_STAMP,"Submitted By",Latitude,Longitude,City,"Switched Tab ( Times )"
Mr.,"April 08, 2021 11:33:14 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,0
Mr.,"April 08, 2021 11:37:51 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,1
Mr.,"April 08, 2021 11:40:58 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,1
Mr.,"April 08, 2021 11:41:45 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,1
Mr.,"April 08, 2021 11:43:09 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,1
Mr.,"April 08, 2021 11:45:26 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,0
Mr.,"April 08, 2021 11:46:07 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,0
Mr.,"April 08, 2021 11:47:09 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,0
Mr.,"April 08, 2021 11:47:28 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,0
Mr.,"April 08, 2021 11:47:43 AM ",,11.219400405883789,78.1677017211914,Nāmakkal,0
